rosbagTimestamp,names,cmds,-,header,seq,stamp,secs,nsecs,frame_id,type,values
1543504674813623879,[Drone1],,,0,,1543504674,813428974,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674820472909,[Drone1],,,0,,1543504674,820129121,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674827052906,[Drone1],,,0,,1543504674,826734684,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674833639725,[Drone1],,,0,,1543504674,833424627,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674840410391,[Drone1],,,0,,1543504674,840114874,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674847180825,[Drone1],,,0,,1543504674,846759632,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674853680431,[Drone1],,,0,,1543504674,853513551,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674860391621,[Drone1],,,0,,1543504674,860140155,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674866986598,[Drone1],,,0,,1543504674,866751797,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674873650964,[Drone1],,,0,,1543504674,873422193,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674880321608,[Drone1],,,0,,1543504674,880116763,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674886969835,[Drone1],,,0,,1543504674,886744390,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674893637557,[Drone1],,,0,,1543504674,893432196,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674900317145,[Drone1],,,0,,1543504674,900112364,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674907198613,[Drone1],,,0,,1543504674,906805450,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674913611703,[Drone1],,,0,,1543504674,913438210,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674920331332,[Drone1],,,0,,1543504674,920141230,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674927079837,[Drone1],,,0,,1543504674,926783200,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
1543504674933752867,[Drone1],,,0,,1543504674,933444516,"""Drone1""","""PosSet""","[1.024692416191101, 0.008394801057875156, 0.0, 0.0]"
