rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,controllers_name,controllers_status,controllers_info,-,name,group,drone_num,status,ck_pt,drone_ID,control_freq,stats_name,stats
1543504677044564477,,25,,1543504677,44250123,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677144928784,,26,,1543504677,144719966,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677244679628,,27,,1543504677,244375870,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677344707474,,28,,1543504677,344463241,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677444091366,,29,,1543504677,443860013,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677544554032,,30,,1543504677,544307547,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677645028334,,31,,1543504677,644773984,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677744414935,,32,,1543504677,744171620,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677844891957,,33,,1543504677,844648348,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504677944379368,,34,,1543504677,944080523,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678045559341,,35,,1543504678,44455670,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678144369489,,36,,1543504678,144020513,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678244786100,,37,,1543504678,244527397,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678345204640,,38,,1543504678,344891960,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678444548750,,39,,1543504678,444285640,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678545011065,,40,,1543504678,544683735,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678644476661,,41,,1543504678,644163284,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678744921645,,42,,1543504678,744584925,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678844189903,,43,,1543504678,843884104,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504678944629315,,44,,1543504678,944298517,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
1543504679044968340,,45,,1543504679,44697262,'',[FastCircle],['OFF'],,"""FastCircle""","[AltHold, FullState]",1,"""OFF""",[],[0],80,"[avg_ctrl_freq, avg_est_latency]","[inf, 0.0]"
