rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,group
1543504668544382034,,84,,1543504668,544028479,"""All""",[Sleep],"['NA, NA']"
1543504668644653194,,85,,1543504668,644451986,"""All""",[Sleep],"['NA, NA']"
1543504668745172883,,86,,1543504668,744899511,"""All""",[Sleep],"['NA, NA']"
1543504668844513359,,87,,1543504668,844307702,"""All""",[Sleep],"['NA, NA']"
1543504668944893907,,88,,1543504668,944675053,"""All""",[Sleep],"['NA, NA']"
1543504669044359298,,89,,1543504669,44106788,"""All""",[Sleep],"['NA, NA']"
1543504669144779665,,90,,1543504669,144497391,"""All""",[Sleep],"['NA, NA']"
1543504669245142168,,91,,1543504669,244834100,"""All""",[Sleep],"['NA, NA']"
1543504669344537305,,92,,1543504669,344244258,"""All""",[Sleep],"['NA, NA']"
1543504669444950434,,93,,1543504669,444680685,"""All""",[Sleep],"['NA, NA']"
1543504669544379617,,94,,1543504669,544101055,"""All""",[Sleep],"['NA, NA']"
1543504669644644585,,95,,1543504669,644427987,"""All""",[Sleep],"['NA, NA']"
1543504669745084762,,96,,1543504669,744823436,"""All""",[Sleep],"['NA, NA']"
1543504669844413130,,97,,1543504669,844192120,"""All""",[Sleep],"['NA, NA']"
1543504669944811498,,98,,1543504669,944547556,"""All""",[Sleep],"['NA, NA']"
1543504670044111825,,99,,1543504670,43847857,"""All""",[Sleep],"['NA, NA']"
1543504670144523690,,100,,1543504670,144211236,"""All""",[Sleep],"['NA, NA']"
1543504670244816470,,101,,1543504670,244578224,"""All""",[Sleep],"['NA, NA']"
1543504670344056059,,102,,1543504670,343821926,"""All""",[Sleep],"['NA, NA']"
1543504670444472135,,103,,1543504670,444178470,"""All""",[Sleep],"['NA, NA']"
1543504670544855438,,104,,1543504670,544594089,"""All""",[Sleep],"['NA, NA']"
1543504670644227848,,105,,1543504670,643974749,"""All""",[Sleep],"['NA, NA']"
1543504670744633419,,106,,1543504670,744393031,"""All""",[Sleep],"['NA, NA']"
